base_notes,Count
Musk,366
Amber,340
Sandalwood,288
Vanilla,274
Patchouli,238
Cedar,228
Tonka Bean,141
Vetiver,140
Oakmoss,98
Woody,98
Leather,60
White Musk,54
Benzoin,54
Cashmere Wood,40
Labdanum,29
Guaiac Wood,23
Incense,23
Moss,22
Cashmeran,21
Tobacco,20
Caramel,19
Ambergris,19
Suede,18
Ambroxan,16
Praline,15
Jasmine,14
patchouli,13
Iris,12
Honey,11
Cypress,10
Fir,10
Agarwood,9
Rose,9
Civet,8
Heliotrope,8
Nutmeg,8
Cinnamon,8
Oud,8
Sugar,7
Wood,7
Brazilian Rosewood,6
Orchid,6
Saffron,6
Pepper,5
Almond,5
Myrrh,5
Ginger,5
Floral,5
Lemon Tree,5
Apricot,5
Styrax,5
Mahogany,5
Orris Root,5
Cacao,4
Raspberry,4
Cardamom,4
Olibanum,4
Ceder,4
Coconut,4
Clove,4
Coumarin,4
Frankincense,4
Sandal Wood,4
Opoponax,4
Cactus,3
Balsamic,3
Violet Leaf,3
Violet,3
Citrus Wood,3
Oriental,3
Patchoulli,3
Anise,3
Sandal,3
ambroxan,3
Brazilian Redwood,3
Blackberry,3
Chestnut,3
Powdery,3
Pine Tree,3
Sensual Woods,3
Papyrus,3
Cocoa,3
Tea,3
Centifolia Rose,3
Cashmirwood,3
White Woods,2
Guimave,2
White Flowers,2
Creamy Rosewood,2
Akigalawood,2
King Wood,2
Rangoon Creeper,2
Black Violet,2
Heliotropine,2
Coconut Accords,2
Cuddly,2
Sweet Wood,2
White Wood,2
Teak Wood,2
Rum,2
Lichen,2
Neroli,2
Cotton Candy,2
Palisander Rosemary,2
Geranium,2
Black Currant,2
Cybet,2
Agarwood (Oud),2
Damascus,2
Caraway,2
Indonesian Patchouli,2
Spices,2
Ebony Wood,2
Aldehyde,2
Wild Heather,2
Dakota Lilies,2
Magnolia Petals,2
Cherokee Rose,2
Desert Jasmin,2
Litchi,2
Orris,2
Orcanox,2
Rich,2
Warm Woman Skin Accord,2
Powdery Notes,2
Pralines,2
Wisteria,2
Golden Woods,2
Chocolate,2
Ebony,2
Beeswax,2
Marshmallow,2
Gardenia,2
Mint,2
Indian Patchouli,2
Coffee,2
Lemon,2
Balsam,2
Pressed Sicilian Lemon,1
lemon tree,1
Pelargonium,1
Juniper Berries,1
Olive Tree,1
Flowers,1
Ebony Tree,1
Lotus,1
Olivewood,1
Bergamot,1
Blood Orange,1
Silver Moss,1
Marine,1
Louro Amarelo Wood,1
Voluptuous Sensuality,1
Living Temple Incense,1
Toffee,1
balsamic,1
Peru Balsam,1
Lily Of The Valley,1
Animal,1
Licorice,1
Oakmoss Vetiver,1
Maple,1
Paraguayan Lignum Vitae,1
Copper Accords,1
White Peach,1
Orange Blossom,1
cypress,1
Woodsy,1
Lamon,1
Violetwhite Wood,1
Plants,1
Coconut Salt,1
Palisander Rosewood,1
Salt,1
Massoia Wood,1
Resin,1
Cistus,1
Roasted Cocoa,1
Sensual Oriental Character - Gaiac Wood,1
Rippled Sand Accord,1
Schijnhulst,1
Georgywood,1
Velvet,1
Crystal Moss,1
Warm Woods,1
Vanillas,1
Red Woods,1
Wild Strawberry,1
Almonds,1
Lily,1
Platanus,1
Brown Sugar Accord,1
Lemon Wood.,1
Juniper,1
Whisky,1
Cream,1
Milk,1
Rare Wood,1
Coriander,1
Resins,1
Green leaves of lily,1
Rosewood,1
Tail Rose,1
Mandarin Orange,1
Effervescent Citrus.,1
Cashere Woods,1
Cotton,1
Celery Seeds,1
Skin Accord,1
Fruity,1
veti,1
Carnation,1
Red Cader,1
Tuberose,1
Tolu Balsam,1
Osmanthus,1
Blue Hyacinth,1
Gaïac Wood,1
Labdanun,1
Rose Hip Red Cyclamen,1
Peach Blossom,1
Nectarine,1
Cacao Pod,1
Almond Milk,1
Fern,1
Suede Accord,1
Roots,1
incense touches,1
styrax,1
Green Tea,1
Green Accord,1
Balsam Fir,1
Ambers,1
Birch,1
Pacsuli,1
Cedar Extract,1
plum,1
Tonka,1
Cream Accords,1
Agarwood Smoke,1
wood,1
Black Tea,1
moss,1
Aromatic,1
Natural Oud Oil,1
Violet Root,1
Mousse Australian,1
Cloves,1
Roasted Tonka Grain,1
Dark Chocolate,1
Aandal,1
Inoki Wood,1
Woods,1
Agarwood (oud),1
Plum,1
Joshua Tree,1
Tahiti Tonka Bean,1
Spicy,1
Light Wood,1
Laurels,1
Aromatic Scents,1
Evernyl,1
Lactone,1
Gaiac Wood,1
By Green Tea,1
Oined with Damascus,1
Muscs note,1
rose,1
Blonde Leather,1
Balsa Wood,1
Lignum Vitae,1
Suede Musk,1
Woodsy transparent with coffee,1
Ambra,1
Tonka bean,1
Acacia Wood,1
Ambrette Seeds,1
palisander rosewood,1
Almod milk,1
Cotton Plant Blossom,1
Creamy Buttery Lactonic Caramel,1
Sensual,1
White Honey,1
Fir Resin,1
Cotton Flower,1
Masculine,1
