middle_notes,Count
Jasmine,218
Rose,129
Geranium,67
Tuberose,46
Iris,40
Orange Blossom,40
Violet,38
Ylang-Ylang,37
Lavender,35
Cardamom,34
Patchouli,33
Gardenia,33
Sage,32
Peony,28
Nutmeg,28
Sandalwood,27
Cinnamon,27
Cedar,27
Vetiver,26
Lily-of-the-valley,25
Lily,23
Peach,23
Carnation,22
Freesia,21
Orchid,20
Pepper,19
Magnolia,19
Lily Of The Valley,18
Coriander,17
Bulgarian Rose,17
Neroli,16
Ginger,16
Rosemary,16
Apple,15
Heliotrope,15
Clary Sage,15
Musk,14
Honeysuckle,14
Orris Root,13
African Orange Flower,12
Violet Leaf,12
Ylang-ylang,12
Honey,12
Cyclamen,11
Vanilla,11
Tiare Flower,11
Lotus,11
Incense,11
Basil,11
Narcissus,10
Cloves,10
Tonka Bean,9
Jasmine Sambac,9
jasmine,9
Orris,8
Lilac,8
Amber,8
Orange Flower,7
Woody,7
Pineapple,7
Turkish Rose,7
Pink Pepper,7
Hyacinth,7
Osmanthus,7
Muguet,6
Black Pepper,6
Brazilian Rosewood,6
Pear,6
cinnamon,5
rose,5
Cypress,5
Jasmine Petals,5
Black Basil,5
Water Notes,5
Oakmoss,5
Jasmin,5
Black Currant,5
Caraway,5
Ylang Ylang,5
Pelargonium,5
Cumin,5
Watermelon,5
Leather,5
Coffee,5
patchouli,4
Sambac Jasmine,4
geranium,4
Olibanum,4
Flowers,4
Birch,4
lily of the valley,4
Spicy,4
Grapefruit Blossom,4
Water Lily,4
Petitgrain,4
Pimento,4
Floral,4
Mimosa,4
Pink Honeysuckle,3
Sweet Jasmine,3
Intensively Clean,3
Pine Tree Needles,3
Ambroxan,3
heliotrope,3
Peach Blossom,3
Cedar Wood,3
Pine,3
Melon,3
Verbena,3
Laurels,3
Myrrh,3
Apricot,3
Water Jasmine,3
Hibiscus Seed,3
gardenia,3
Spices,3
Milk,3
Wild Rose,3
Cacao Pod,3
Saffron,3
Guatemalan Cardamom,3
Almond,3
Water,3
Pine Tree,3
Hazelnut,3
Cherry,3
Sea Notes,3
carnation,3
Spicy Notes,3
Wild Jasmine,3
Rose Absolute,3
Teak Wood,3
Floral Notes,3
Thyme,3
Red Apple,3
Anise,3
Coumarin,3
Orange Tree Blossom,3
Plum,3
Chamomile,2
Ylang,2
Musky,2
Wood,2
Labdanum,2
White Peach,2
Blue Hyacinth,2
Powdery Iris,2
Fruity,2
Clementine,2
Ambergris,2
Ginger Lily,2
White Chocolate Orchid,2
Bran,2
Moepel Accord,2
Hay,2
Tobacco,2
Fir,2
Coconut,2
Cassis,2
Bergamot,2
marigold,2
Spicy Coriander,2
Ylang-Ylan,2
Strawberry,2
Hiacynth,2
Muget,2
Violaciocca Flower,2
Orange,2
Lotus Flower,2
Lily of the Valley,2
Ginger Flower,2
Animalistic Floral,2
Red Lily,2
narcissus,2
Floral Rhythm Of Peony,2
Chinese Osmanthus,2
Agarwood,2
,2
Jasmine Absolute,2
Amaryllis,2
White Rose,2
Orange blossom,2
Fruity Notes,2
freesia,2
Green Grass,2
Juniper,2
Lavandin,2
Licorice,2
Caramel,2
Lemon,2
Blackberry,2
Rose Hip,2
Mexican Tuberose,2
Patchouli Leaves,2
Raspberry,2
Papyrus,2
Violet Leaves,2
Ambregris Accord,2
Teakwood,2
Grapefruit Zests,2
Plumeria,2
Green Notes,2
White Flowers,2
Juniper Berries,2
Praline,2
juniper berries,2
Cotton Candy,2
Black Orchid,2
Rosewood,2
tarragon,2
cardamom,2
Nerium Oleander,2
apple,2
Cassia,2
Orange Blossoms,2
Slice Of Apple,2
Hot Ginger,2
Chilled Vodka,2
Clove,2
Dried Fruit,2
Majorjam,2
Cashmirwood,2
pepper,2
Damask Rose,2
gardenia lily of the valley,1
orchid,1
Candied Fruits,1
Elemi,1
Champaca Flower,1
iris,1
Tuber Rose,1
Lotus Blossom,1
Dewy English Roses,1
Danmask Rose,1
Jasmine Tea,1
Cupcakes,1
elegant lily flower,1
Orange Bloosm,1
Orrange Blossom,1
Rose Absolu,1
Ylang - Ylang,1
Almond Blossom,1
Green Leaves,1
Smoky Leather,1
magnolia,1
Rose Petal Accord,1
Essences of rare,1
Wild violet,1
Mandarin Orange,1
Red Rose,1
Magnalio,1
Rose De Mai Indian,1
Lily-of-the valley,1
lotus,1
White Jasmine,1
Rose petals,1
Jasmine In An Alliance With Hibiscus Blossom,1
Tea,1
Orange Flower Absolute,1
Luscious Narcissus,1
Cold Woodsy Iris,1
Night-Blooming Jasmine,1
Accords of Wild Strawberry,1
Black Peony,1
Intoxicating Seductress Rose,1
Plam Tree,1
White Florals,1
Passionfruit,1
Watery Notes,1
Unexpected Carrot,1
Elegant Jasmine,1
ylang-ylang,1
White flowers,1
Magnoli,1
Indian Tuberose,1
Rose Petals,1
Bulgarian Pink Violet,1
Iris.,1
Carrot,1
tuberose,1
Wisteria,1
Creamy,1
Mexican chocolate,1
Green apple,1
Peony Tiare,1
Pink,1
Carrot Seeds,1
Frangipani,1
Sunflower Seed,1
Kiwi,1
Luminous Orange Blossom,1
Reseda,1
Chrysanthemum,1
Rose Hip Red Cyclamen,1
Nectarine,1
Violet Root,1
Violet Sandalwood,1
White Wood,1
Lily of The Valley,1
Blackcurrant,1
Red Berries,1
Plums,1
Red Currant Blossom,1
lily,1
Delightfully Sweet Ylang-Ylang,1
Tiare Lily,1
Quince,1
False Jasmine,1
Pine Apple,1
Cactus Flowers,1
Gardenias,1
Lychee,1
Walnut,1
Apple Blossom,1
Wild Hyacinth,1
Tubereuse,1
Jasmine Trace,1
Blackberry Are Softened With Delicate Violet,1
spicy coriander,1
carrot,1
Chinese Jasmine,1
Big Strawberry,1
Chinese Rose,1
Grenadine,1
Rose Damascena Essence,1
Pearlescent Flower Accord (magnolia,1
Sunflower,1
Hedione,1
Turkish,1
Root,1
Tea Rose,1
Sugar,1
Lantana Flower,1
Rose Orange Blossom,1
Iris Root,1
Pineapple Flower,1
Indian Jasmine,1
Hibiscus Seeds,1
bakhoor,1
Living Osmanthus Flower,1
Living Patchouli Flower,1
Floral Bouquet,1
a Hint of Fresh Clementine Zest,1
white Fennel,1
Moroccan Rose,1
Jasmin Sambac,1
Butterfly Violets,1
Crisp Green Notes,1
Citrus Orchards,1
Grapefruit,1
Nashi,1
Pink Peony,1
Star Apple,1
Indian Sambac Jasmine,1
Lebanese Neroli,1
Bulgarian Rose Absolute,1
Turkish Rose Absolute,1
Cupcake,1
Orris Concrete,1
Egyptian Jasmine,1
Rose de Mai,1
Burning Oud,1
Daffodil,1
Ylang -ylang,1
Arum Lily,1
exotic amethyst freesia,1
muguet petals,1
African orange,1
Broom Flower),1
Floral Accent,1
Range Blossom,1
Violet Jasmine,1
Caribbean Magnolia,1
Princess lily,1
Bluebell,1
Ceylon Tea,1
Roses,1
Creamy Honey,1
Turkish Rose Gardenia Cyclamen,1
Hibiscus,1
White Heliotrope,1
Egyptian Musk,1
Pink Freesia,1
Flower,1
Raspberry Leaf,1
Blossom Peach,1
Warm Sandalwood.,1
Sun Rose,1
Natural Rose Absolute,1
Rose Water,1
Lily Peony,1
Damascus Plum,1
orris,1
Soft Peony,1
Genisteae,1
Rooibos Tea Extract (red Bush Tea),1
Moroccan jasmine,1
dry birch,1
Essence Of Birch,1
Vegetal Amber,1
White Freesia,1
Blue Orris Accord,1
Kiwano,1
Agave Nectar,1
Marine Ambergris,1
Amyris,1
Ambrofix,1
orange blossom,1
Cashmere Wood,1
Seaweed,1
Luxurious Notes of Whiskey,1
Crisp Green Apple,1
Cool Eucalyptus,1
Ozonic Tones With Geranium,1
Cistus,1
Opoponax,1
Frankincense,1
Moss,1
Galbanum,1
Aromatic Accords,1
Tanzanian Black Pepper,1
Shaving Soap,1
juniper,1
Guatemalan cardamom,1
Charismatic Virility Of A Cedarwood,1
Rum,1
African Geranium,1
Oakmoss Fused With Geranium,1
Virginia Cedar,1
Delicate Musk Fragrance,1
Sea notes,1
Guaiac Tree,1
Lebanese Cedar,1
Lemongrass,1
Dark Plum,1
Fruity-Gourmand,1
Vanille,1
Mirabelle Plum,1
Orange Blossom Extract,1
Maninka,1
Lavenday,1
spicy notes,1
Yellow Plum,1
Mahonial,1
Juniperberry,1
Milky Sandalwood,1
Fruits,1
Flower Of Love,1
Small Coconut,1
cinnamon bark,1
Rose absolute,1
Cranberry,1
Dried Fruits.,1
Tea Accord,1
Mint,1
Cedarwood,1
Soft,1
Pineapple Leaf,1
Amber Nuanced Clary Sage,1
Mimose,1
Chinese Cedar,1
Pine tree,1
Red Fruits,1
Cardomon,1
White Pepper,1
Exotic,1
Distinct,1
